_id.Year,Number
1912,20
1913,6
1914,28
1915,51
1916,41
1917,50
1918,67
1919,73
1920,53
1921,69
1922,86
1923,87
1924,37
1925,58
1926,63
1927,39
1928,78
1929,64
1930,55
1931,48
1932,31
1933,32
1934,50
1935,25
1936,33
1937,28
1938,37
1939,49
1940,51
1941,30
1942,30
1943,28
1944,28
1945,30
1946,29
1947,41
1948,19
1949,17
1950,35
1951,12
1952,26
1953,5
1954,12
1955,26
1956,389
1957,574
1958,337
1959,251
1960,206
1961,148
1962,131
1963,99
1964,83
1965,129
1966,77
1967,126
1968,91
1969,110
1970,86
1971,81
1972,67
1973,106
1974,104
1975,71
1976,102
1977,252
1978,317
1979,224
1980,180
1981,168
1982,108
1983,131
1984,95
1985,157
1986,123
1987,155
1988,140
1989,203
1990,150
1991,155
1992,138
1993,205
1994,146
1995,176
1996,152
1997,167
1998,181
1999,315
2000,286
2001,226
2002,279
2003,223
2004,233
2005,178
2006,213
2007,304
2008,276
2009,193
2010,139
2011,166
2012,128
2013,132
2014,123
